EW,Case
"EW 45, 2016",1
"EW 44, 2016",7
"EW 43, 2016",39
"EW 42, 2016",105
"EW 41, 2016",105
"EW 40, 2016",97
"EW 39, 2016",115
"EW 38, 2016",118
"EW 37, 2016",121
"EW 36, 2016",104
"EW 35, 2016",30
