EW,Case
"EW 45, 2016",29
"EW 44, 2016",70
"EW 43, 2016",80
"EW 42, 2016",54
"EW 41, 2016",61
"EW 40, 2016",50
"EW 39, 2016",48
"EW 38, 2016",45
"EW 37, 2016",56
"EW 36, 2016",44
"EW 35, 2016",30
