EW,Case
"EW 45, 2016",38
"EW 44, 2016",305
"EW 43, 2016",349
"EW 42, 2016",324
"EW 41, 2016",314
"EW 40, 2016",128
"EW 39, 2016",25
"EW 38, 2016",41
"EW 37, 2016",30
"EW 36, 2016",35
"EW 35, 2016",24
