EW,Case
"EW 45, 2016",5
"EW 44, 2016",28
"EW 43, 2016",4
"EW 42, 2016",6
"EW 41, 2016",6
"EW 40, 2016",6
"EW 39, 2016",3
"EW 38, 2016",3
"EW 37, 2016",14
"EW 36, 2016",0
"EW 35, 2016",2
