EW,Case
"EW 45, 2016",17
"EW 44, 2016",162
"EW 43, 2016",173
"EW 42, 2016",136
"EW 41, 2016",165
"EW 40, 2016",133
"EW 39, 2016",89
"EW 38, 2016",116
"EW 37, 2016",99
"EW 36, 2016",145
"EW 35, 2016",55
