EW,Case
"EW 45, 2016",1
"EW 44, 2016",8
"EW 43, 2016",11
"EW 42, 2016",4
"EW 41, 2016",4
"EW 40, 2016",4
"EW 39, 2016",2
"EW 38, 2016",7
"EW 37, 2016",5
"EW 36, 2016",2
"EW 35, 2016",5
