EW,Case
"EW 45, 2016",62
"EW 44, 2016",209
"EW 43, 2016",254
"EW 42, 2016",320
"EW 41, 2016",307
"EW 40, 2016",215
"EW 39, 2016",137
"EW 38, 2016",191
"EW 37, 2016",207
"EW 36, 2016",205
"EW 35, 2016",68
