EW,Case
"EW 45, 2016",2
"EW 44, 2016",11
"EW 43, 2016",25
"EW 42, 2016",20
"EW 41, 2016",24
"EW 40, 2016",9
"EW 39, 2016",20
"EW 38, 2016",10
"EW 37, 2016",2
"EW 36, 2016",2
"EW 35, 2016",1
