EW,Case
"EW 45, 2016",5
"EW 44, 2016",27
"EW 43, 2016",18
"EW 42, 2016",16
"EW 41, 2016",37
"EW 40, 2016",22
"EW 39, 2016",14
"EW 38, 2016",13
"EW 37, 2016",14
"EW 36, 2016",98
"EW 35, 2016",6
